Solution Algo,Maze Algo,Multiple,Size,Time,Nv,Nde,Steps,Path Length,Maze Shortest Path
BFS,DFS,0,761,167167,245614,61464,245613,42771,42771
RIGHT HAND RULE,DFS,0,761,219376,161181,69613,279590,42771,42771
BFS,PRIM,0,761,148340,220360,35325,220359,1687,1687
RIGHT HAND RULE,PRIM,0,761,290732,183083,59006,364478,1687,1687
BFS,HUNT_AND_KILL,0,761,194764,287986,56857,287985,1643,1643
RIGHT HAND RULE,HUNT_AND_KILL,0,761,134742,89329,34877,177014,1643,1643
BFS,RECURSIVE_DIVISION,0,761,84168,119432,4147,119431,4809,4809
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,48202,41256,3074,60370,5751,4809
BFS,DFS,0,761,116195,165599,41450,165598,35895,35895
RIGHT HAND RULE,DFS,0,761,313427,214885,98165,393874,35895,35895
BFS,PRIM,0,761,119936,176500,28528,176499,1947,1947
RIGHT HAND RULE,PRIM,0,761,82456,56003,17779,110058,1947,1947
BFS,HUNT_AND_KILL,0,761,140406,206881,40358,206880,1615,1615
RIGHT HAND RULE,HUNT_AND_KILL,0,761,278270,176617,68915,351618,1615,1615
BFS,RECURSIVE_DIVISION,0,761,226981,334846,11501,334845,15941,15941
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,260394,210029,14987,310124,18757,15941
BFS,DFS,0,761,157891,233738,58435,233737,40331,40331
RIGHT HAND RULE,DFS,0,761,256406,182931,80985,325530,40331,40331
BFS,PRIM,0,761,113722,165511,26597,165510,1771,1771
RIGHT HAND RULE,PRIM,0,761,112905,74999,24070,148226,1771,1771
BFS,HUNT_AND_KILL,0,761,170061,251101,49366,251100,1759,1759
RIGHT HAND RULE,HUNT_AND_KILL,0,761,350741,221467,87140,441174,1759,1759
BFS,RECURSIVE_DIVISION,0,761,206806,302319,10178,302318,16837,16837
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,193322,160477,11348,236044,19589,16837
BFS,DFS,0,761,62385,86144,21730,86143,17811,17811
RIGHT HAND RULE,DFS,0,761,366232,241409,115739,465006,17811,17811
BFS,PRIM,0,761,168237,249699,40427,249698,2007,2007
RIGHT HAND RULE,PRIM,0,761,44307,31005,9656,60002,2007,2007
BFS,HUNT_AND_KILL,0,761,192876,288195,56545,288194,1575,1575
RIGHT HAND RULE,HUNT_AND_KILL,0,761,254789,163445,63943,325314,1575,1575
BFS,RECURSIVE_DIVISION,0,761,73154,104023,3519,104022,5697,5697
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,34030,30924,1967,44206,6645,5697
BFS,DFS,0,761,160696,235662,59012,235661,36491,36491
RIGHT HAND RULE,DFS,0,761,221330,159577,70376,282662,36491,36491
BFS,PRIM,0,761,86053,125352,20230,125351,1691,1691
RIGHT HAND RULE,PRIM,0,761,322031,202349,65397,403006,1691,1691
BFS,HUNT_AND_KILL,0,761,193505,288643,56533,288642,1575,1575
RIGHT HAND RULE,HUNT_AND_KILL,0,761,229327,148267,57866,294958,1575,1575
